agent0,0,local
agent1,0,local
agent2,0,local
agent0,99,local
agent2,1,local
agent1,1,local
agent0,0,local
agent1,2,local
agent2,0,local
agent0,1,local
agent1,3,local
agent0,2,local
agent2,1,local
agent1,4,local
agent2,2,local
agent0,3,local
agent1,3,local
agent2,1,local
agent0,2,local
agent2,0,local
agent1,2,local
agent0,1,local
agent2,1,local
agent1,1,local
agent0,0,local
agent0,1,local
agent2,2,local
agent1,2,local
agent0,2,local
agent1,1,local
agent2,3,local
agent0,3,local
agent1,0,local
agent1,1,local
agent2,2,local
agent0,2,local
agent1,0,local
agent1,99,local
agent2,3,local
agent0,3,local
agent1,0,local
agent2,2,local
agent1,99,local
agent0,2,local
agent2,1,local
agent1,98,local
agent0,3,local
agent2,2,local
agent0,4,local
agent1,97,local
agent2,1,local
agent1,96,local
agent0,3,local
agent2,2,local
agent1,97,local
agent0,4,local
agent2,1,local
agent1,98,local
agent0,5,local
agent2,2,local
agent1,99,local
agent0,4,local
agent2,3,local
agent1,0,local
agent0,3,local
agent2,2,local
agent1,1,local
agent0,2,local
agent1,0,local
agent2,3,local
agent0,3,local
agent1,99,local
agent2,2,local
agent0,2,local
agent1,0,local
agent2,3,local
agent0,3,local
agent1,1,local
agent2,4,local
agent0,2,local
agent1,0,local
agent2,5,local
agent0,1,local
agent1,99,local
agent2,6,local
agent0,2,local
agent1,98,local
agent2,5,local
agent0,3,local
agent1,99,local
agent2,6,local
agent0,2,local
agent1,98,local
agent2,5,local
agent0,3,local
agent1,97,local
agent2,4,local
agent0,2,local
agent1,98,local
agent1,99,local
agent2,3,local
agent0,3,local
agent1,98,local
agent2,4,local
agent0,2,local
agent1,97,local
agent1,96,local
agent2,3,local
agent0,3,local
agent1,95,local
agent2,2,local
agent0,4,local
agent1,96,local
agent2,1,local
agent0,5,local
agent1,97,local
agent2,2,local
agent0,4,local
agent1,98,local
agent2,3,local
agent1,97,local
agent0,3,local
agent1,96,local
agent2,2,local
agent0,2,local
agent1,95,local
agent1,96,local
agent2,1,local
agent0,1,local
agent1,95,local
agent2,0,local
agent0,2,local
agent1,96,local
agent1,97,local
agent2,1,local
agent0,1,local
agent1,96,local
agent1,96,global
agent2,2,local
agent0,0,local
agent1,97,local
agent2,3,local
agent0,1,local
agent1,96,local
agent2,4,local
agent0,2,local
agent1,95,local
agent2,5,local
agent0,3,local
agent1,94,local
agent1,95,local
agent2,4,local
agent0,4,local
agent1,94,local
agent1,93,local
agent2,3,local
agent0,3,local
agent1,92,local
agent2,2,local
agent0,4,local
agent0,4,global
agent1,91,local
agent2,3,local
agent0,5,local
agent1,92,local
agent2,2,local
agent2,2,global
agent0,6,local
agent1,91,local
agent2,1,local
agent0,5,local
agent1,90,local
agent2,2,local
agent0,6,local
