agent0,91,local
agent2,31,local
agent1,56,local
agent0,92,local
agent1,57,local
agent2,30,local
agent1,58,local
agent2,29,local
agent0,91,local
agent1,59,local
agent2,30,local
agent0,92,local
agent1,58,local
agent0,93,local
agent2,31,local
agent1,59,local
agent0,92,local
agent2,32,local
agent1,60,local
agent0,93,local
agent2,33,local
agent1,59,local
agent0,94,local
agent2,34,local
agent1,58,local
agent0,93,local
agent2,35,local
agent1,57,local
agent0,94,local
agent2,34,local
agent1,58,local
agent0,95,local
agent2,33,local
agent1,57,local
agent0,96,local
agent2,32,local
agent1,58,local
agent0,95,local
agent2,31,local
agent1,57,local
agent0,96,local
agent2,32,local
agent1,58,local
agent0,97,local
agent2,33,local
agent1,59,local
agent0,98,local
agent2,34,local
agent1,58,local
agent0,97,local
agent2,33,local
agent1,59,local
agent0,98,local
agent2,32,local
agent1,60,local
agent0,97,local
agent2,33,local
agent1,61,local
agent0,98,local
agent2,32,local
agent1,60,local
agent0,97,local
agent2,31,local
agent1,61,local
agent0,96,local
agent2,32,local
agent1,62,local
agent0,95,local
agent2,33,local
agent1,61,local
agent0,96,local
agent2,32,local
agent1,62,local
agent0,95,local
agent2,33,local
agent1,61,local
agent0,96,local
agent2,32,local
agent1,62,local
agent0,97,local
agent2,33,local
agent1,63,local
agent0,96,local
agent2,34,local
agent1,62,local
agent0,95,local
agent2,35,local
agent1,61,local
agent0,96,local
agent2,36,local
agent1,60,local
agent0,95,local
agent2,35,local
agent1,61,local
agent0,94,local
agent2,36,local
agent1,62,local
agent0,93,local
agent2,35,local
agent1,61,local
agent0,92,local
agent2,36,local
agent1,62,local
agent0,91,local
agent2,35,local
agent1,63,local
agent0,92,local
agent2,36,local
agent1,62,local
agent0,91,local
agent2,35,local
agent1,61,local
agent0,92,local
agent2,36,local
agent1,60,local
agent0,91,local
agent2,35,local
agent1,59,local
agent0,90,local
agent2,34,local
agent1,60,local
agent0,89,local
agent2,33,local
agent1,61,local
agent0,90,local
agent2,32,local
agent1,60,local
agent0,89,local
agent2,31,local
agent1,61,local
agent0,90,local
agent2,30,local
agent1,62,local
agent0,89,local
agent2,29,local
agent1,61,local
agent0,88,local
agent2,30,local
agent1,60,local
agent0,89,local
agent2,29,local
agent1,61,local
agent0,90,local
agent2,28,local
agent1,60,local
agent0,89,local
agent2,29,local
agent1,59,local
agent0,90,local
agent2,30,local
agent1,60,local
agent1,60,global
agent0,89,local
agent0,89,global
agent2,29,local
agent2,29,global
agent1,59,local
agent0,88,local
agent2,30,local
agent1,58,local
agent0,87,local
agent2,29,local
agent1,57,local
agent0,88,local
agent2,30,local
agent1,58,local
agent0,87,local
agent2,31,local
agent1,57,local
agent0,86,local
agent2,32,local
agent1,58,local
agent0,87,local
agent2,31,local
agent1,59,local
agent0,88,local
agent2,30,local
agent1,58,local
agent0,89,local
agent2,31,local
agent1,57,local
agent0,90,local
agent2,30,local
agent1,56,local
agent0,89,local
agent2,31,local
agent1,55,local
agent0,90,local
agent2,30,local
agent1,56,local
agent0,89,local
agent2,31,local
agent1,55,local
agent0,88,local
agent2,32,local
agent1,54,local
agent0,87,local
agent2,31,local
agent1,53,local
agent0,88,local
agent2,32,local
agent1,54,local
agent0,89,local
agent2,31,local
agent1,53,local
agent0,88,local
agent2,30,local
agent1,54,local
agent0,89,local
agent2,29,local
agent1,53,local
agent0,90,local
agent2,30,local
agent1,54,local
agent0,89,local
agent2,31,local
agent1,53,local
agent0,90,local
agent2,30,local
agent1,52,local
agent0,89,local
agent2,29,local
agent1,51,local
agent0,90,local
agent2,30,local
agent1,52,local
agent0,89,local
agent2,31,local
agent1,53,local
agent0,90,local
agent2,32,local
agent1,52,local
agent0,89,local
agent2,33,local
agent1,51,local
agent0,90,local
agent2,32,local
agent1,52,local
agent0,89,local
agent2,33,local
agent1,51,local
agent0,90,local
agent2,34,local
agent1,52,local
agent0,89,local
agent2,35,local
agent1,51,local
agent0,88,local
agent2,36,local
agent1,50,local
agent0,89,local
agent2,35,local
agent1,49,local
agent0,88,local
agent2,36,local
agent1,48,local
agent0,89,local
agent2,35,local
agent1,47,local
agent0,90,local
agent2,36,local
agent1,46,local
agent0,89,local
agent2,35,local
agent1,45,local
agent0,88,local
agent2,36,local
agent1,44,local
agent0,87,local
agent2,35,local
agent1,43,local
agent0,88,local
agent2,34,local
agent1,42,local
agent0,87,local
agent2,35,local
agent1,43,local
agent0,88,local
agent2,34,local
agent1,44,local
agent0,89,local
agent2,35,local
agent1,45,local
agent0,88,local
agent2,36,local
agent1,44,local
agent0,89,local
agent2,35,local
agent1,45,local
agent0,90,local
agent2,36,local
agent1,44,local
agent0,89,local
agent2,35,local
agent1,43,local
agent0,90,local
agent2,34,local
agent1,44,local
agent0,89,local
agent2,35,local
agent1,43,local
agent0,90,local
agent2,36,local
agent1,44,local
agent0,89,local
agent2,35,local
agent1,45,local
agent1,45,global
agent0,88,local
agent0,88,global
agent2,36,local
agent2,36,global
agent1,44,local
agent0,87,local
agent2,35,local
agent1,45,local
agent0,88,local
agent2,36,local
agent1,44,local
agent0,89,local
agent2,35,local
agent1,45,local
agent0,90,local
agent2,36,local
agent1,44,local
agent0,89,local
agent2,35,local
agent1,45,local
agent0,90,local
agent2,36,local
agent1,44,local
agent0,89,local
agent2,35,local
agent1,43,local
agent0,90,local
agent2,36,local
agent1,44,local
agent0,89,local
agent2,35,local
agent1,43,local
agent0,90,local
agent2,34,local
agent1,42,local
agent0,89,local
agent2,33,local
agent1,41,local
agent0,88,local
agent2,34,local
agent1,42,local
agent0,87,local
agent2,35,local
agent1,41,local
agent0,86,local
agent2,36,local
agent1,42,local
agent0,87,local
agent2,35,local
agent1,41,local
agent0,88,local
agent2,34,local
agent1,42,local
agent0,87,local
agent2,33,local
agent1,43,local
agent0,88,local
agent2,34,local
agent1,42,local
agent0,87,local
agent2,33,local
agent1,43,local
agent0,86,local
agent2,32,local
agent1,42,local
agent0,85,local
agent2,33,local
agent1,43,local
agent0,86,local
agent2,34,local
agent1,44,local
agent0,87,local
agent2,35,local
agent1,43,local
agent0,86,local
agent2,36,local
agent1,44,local
agent0,85,local
agent2,35,local
agent1,45,local
agent0,84,local
agent2,34,local
agent1,44,local
agent0,83,local
agent2,35,local
agent1,43,local
agent0,82,local
agent2,34,local
agent1,44,local
agent0,83,local
agent2,35,local
agent1,45,local
agent0,84,local
agent2,34,local
agent1,44,local
agent0,83,local
agent2,33,local
agent1,45,local
agent0,84,local
agent2,32,local
agent1,44,local
agent0,85,local
agent2,33,local
agent1,45,local
agent0,84,local
agent2,32,local
agent1,44,local
agent0,83,local
agent2,31,local
agent1,45,local
agent0,82,local
agent2,30,local
agent1,44,local
agent0,83,local
agent2,31,local
agent1,43,local
agent0,82,local
agent2,32,local
agent1,44,local
agent0,83,local
agent2,33,local
agent1,45,local
agent0,84,local
agent2,34,local
agent1,44,local
agent0,85,local
agent2,33,local
agent1,45,local
agent0,86,local
agent2,34,local
agent1,44,local
agent0,85,local
agent2,33,local
agent1,43,local
agent0,84,local
agent2,32,local
agent1,42,local
agent0,83,local
agent2,31,local
agent1,41,local
agent0,82,local
agent2,30,local
agent1,40,local
agent0,81,local
agent2,29,local
agent1,39,local
agent0,80,local
agent2,28,local
agent1,38,local
agent0,81,local
agent2,27,local
agent1,39,local
agent0,80,local
agent2,26,local
agent1,40,local
agent1,40,global
agent0,81,local
agent0,81,global
agent2,25,local
agent2,25,global
agent1,39,local
agent0,80,local
agent2,26,local
agent1,40,local
agent0,81,local
agent2,25,local
agent1,41,local
agent0,80,local
agent2,24,local
agent1,40,local
agent0,81,local
agent2,23,local
agent1,39,local
agent0,80,local
agent2,24,local
agent1,40,local
agent0,79,local
agent2,23,local
agent1,39,local
agent0,80,local
agent2,22,local
agent1,38,local
agent0,81,local
agent2,21,local
agent1,37,local
agent0,80,local
agent2,20,local
agent1,36,local
agent0,81,local
agent2,21,local
agent1,35,local
agent0,80,local
agent2,22,local
agent1,36,local
agent0,81,local
agent2,21,local
agent1,35,local
agent0,80,local
agent2,22,local
agent1,36,local
agent0,79,local
agent2,23,local
agent1,35,local
agent0,80,local
agent2,22,local
agent1,36,local
agent0,79,local
agent2,23,local
agent1,35,local
agent0,78,local
agent2,24,local
agent1,36,local
agent0,79,local
agent2,25,local
agent1,35,local
agent0,78,local
agent2,24,local
agent1,36,local
agent0,79,local
agent2,23,local
agent1,35,local
agent0,78,local
agent2,24,local
agent1,34,local
agent0,79,local
agent2,23,local
agent1,33,local
agent0,78,local
agent2,22,local
agent1,32,local
agent0,79,local
agent2,21,local
agent1,31,local
agent0,80,local
agent2,22,local
agent1,30,local
agent0,81,local
agent2,23,local
agent1,31,local
agent0,80,local
agent2,24,local
agent1,30,local
agent0,81,local
agent2,25,local
agent1,29,local
agent0,80,local
agent2,26,local
agent1,28,local
agent0,81,local
agent2,25,local
agent1,29,local
agent0,80,local
agent2,26,local
agent1,30,local
agent0,81,local
agent2,25,local
agent1,29,local
agent0,80,local
agent2,26,local
agent1,30,local
agent0,79,local
agent2,25,local
agent1,31,local
agent0,78,local
agent2,24,local
agent1,32,local
agent0,77,local
agent2,25,local
agent1,31,local
agent0,76,local
agent2,24,local
agent1,30,local
agent0,77,local
agent2,25,local
agent1,29,local
agent0,76,local
agent2,26,local
agent1,28,local
agent0,77,local
agent2,25,local
agent1,29,local
agent0,76,local
agent2,24,local
agent1,28,local
agent0,77,local
agent2,25,local
agent1,27,local
agent0,78,local
agent2,26,local
agent0,79,local
